"District","Year","AveragePRECIP","MaxPRECIP","MinPRECIP"
"Guruve","2001",39.5482737619338,158.776413650606,0.112023902582105
"Guruve","2002",20.040832470211,54.3820286532827,0.00753246527652378
"Guruve","2003",27.847142038423,85.3325091316419,0.0905770080595104
"Guruve","2004",31.8328151916824,100.193956883281,0.0175019890613411
"Guruve","2005",23.5285485392892,99.8996222489021,0.0304933337983825
"Guruve","2006",29.5218118588046,105.868912883366,0.018634211363714
"Guruve","2007",36.9783115499313,127.101450994903,0.00769690886783756
"Guruve","2008",32.6227444476608,162.246169099621,0.0222859173492907
"Guruve","2009",24.4645588466753,80.2487105946915,0.00423037370455323
"Guruve","2010",28.8970157045992,118.906566304436,0.00155620749634787
"Guruve","2011",24.3027450611861,109.832397840888,0
"Guruve","2012",24.6400627987245,79.3057988793827,0
"Guruve","2013",30.0764362502505,133.954688056427,6.30857032079161e-05
"Guruve","2014",29.6760081549799,122.202273778588,0
"Guruve","2015",28.3944948116883,140.786479513201,0
"Guruve","2016",22.9656850341854,79.8286756960785,0
"Guruve","2017",32.454469261593,124.690247397563,0
"Guruve","2018",24.9861363172529,127.6605978441,0.00140880662776694
"Guruve","2019",20.2761214325122,72.9107554799786,0.0344823382392326
"Gutu","2000",19.8535959305157,42.4300709838084,1.17331359497792
"Gutu","2001",37.9905718570127,144.360603540318,0.0754763678546856
"Gutu","2002",16.0143862749419,45.2285694851595,1.59784742936529
"Gutu","2003",26.705112069267,102.956051962282,0.310234834193412
"Gutu","2004",29.2619934482401,86.3573912811046,2.58379829823788
"Gutu","2005",23.5721149422484,155.998823094017,0.0547864230188447
"Gutu","2006",23.5379791234706,77.7661161170286,0.0596476974012237
"Gutu","2007",31.6196073207051,171.339261450954,0.286243940536309
